id;current_assign;current_ass_st_date;analyst_assign;manager_assign
1;Gorgeous Games Buckinghamshire;2019-12-26;protocol calculating;withdrawal
2;Sao Tome and Principe Auto Loan Account;2019-12-26;Concrete front-end open-source;Guinea Franc Handcrafted Steel Mouse
3;New York;2019-12-26;neural-net;Industrial Oklahoma
4;Sleek deposit;2019-12-26;Bahraini Dinar;Nepal Chicken
5;Awesome Concrete Shoes;2019-12-26;tertiary compressing Outdoors;systematic
6;streamline;2019-12-26;Ethiopia;transmitting compressing hacking
7;Analyst bypassing;2019-12-26;Fantastic Steel Cheese Lead frictionless;Soft Connecticut
8;Bedfordshire;2019-12-26;Sleek Frozen Soap;FTP Car
9;bus AGP;2019-12-26;Fantastic Steel Car;coherent SDD
10;support Practical synthesize;2019-12-26;Toys;California intranet
